City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Pokhara,NP,2022-01-03 04:52:44,28.2333,83.9833,62.73,46,13,5.37
151,Yumen,CN,2022-01-03 04:52:45,40.2833,97.2,27.0,32,0,10.6
152,Lac-Megantic,CA,2022-01-03 04:52:45,45.5834,-70.8823,8.51,88,83,7.87
153,The Valley,AI,2022-01-03 04:52:46,18.217,-63.0578,78.1,70,1,16.35
154,Fare,PF,2022-01-03 04:52:46,-16.7,-151.0167,76.73,86,100,11.56
155,Isiro,CD,2022-01-03 04:52:47,2.7739,27.616,66.74,93,97,1.14
156,Tshela,CD,2022-01-03 04:52:47,-4.9833,12.9333,73.36,99,100,0.65
157,Babu,CN,2022-01-03 04:52:48,24.4167,111.5167,70.88,52,62,1.12
158,San-Pedro,CI,2022-01-03 04:52:48,4.7485,-6.6363,78.71,86,56,5.1
159,Floro,NO,2022-01-03 04:52:49,61.5996,5.0328,44.96,93,90,20.71
160,Ambon,ID,2022-01-03 04:49:13,-3.6954,128.1814,85.1,68,48,5.64
161,Carnarvon,AU,2022-01-03 04:52:49,-24.8667,113.6333,82.47,65,0,17.27
162,Boa Vista,BR,2022-01-03 04:52:50,2.8197,-60.6733,78.78,69,0,9.22
163,Carndonagh,IE,2022-01-03 04:52:50,55.25,-7.2667,45.55,86,58,19.13
164,Tuktoyaktuk,CA,2022-01-03 04:52:51,69.4541,-133.0374,-23.8,69,40,10.36
165,Bengkulu,ID,2022-01-03 04:52:51,-3.8004,102.2655,82.92,68,71,5.75
166,Mulanje,MW,2022-01-03 04:52:51,-16.0316,35.5,75.06,83,94,1.52
167,Luena,AO,2022-01-03 04:52:52,-11.7833,19.9167,61.68,96,100,2.39
168,Luoyang,CN,2022-01-03 04:52:52,34.6836,112.4536,49.33,30,0,4.05
169,Necochea,AR,2022-01-03 04:52:53,-38.5473,-58.7368,61.03,70,71,6.42
170,Gambela,ET,2022-01-03 04:52:53,8.25,34.5833,80.11,52,71,2.17
171,Shimoda,JP,2022-01-03 04:52:54,34.6667,138.95,53.96,56,69,4.12
172,Nanortalik,GL,2022-01-03 04:52:54,60.1432,-45.2371,31.48,91,100,27.98
173,Byron Bay,AU,2022-01-03 04:52:55,-28.65,153.6167,85.05,72,71,23.73
174,Salvacion,PH,2022-01-03 04:52:55,7.9833,126.1333,75.52,94,100,4.32
175,Port Elizabeth,ZA,2022-01-03 04:52:56,-33.918,25.5701,62.1,88,75,1.14
176,Sao Joao Da Barra,BR,2022-01-03 04:49:41,-21.6403,-41.0511,74.61,90,100,10.67
177,Severomuysk,RU,2022-01-03 04:52:56,56.1481,113.4267,-13.32,90,100,3.51
178,Palmas De Monte Alto,BR,2022-01-03 04:52:57,-14.2672,-43.1619,69.22,95,100,3.02
179,Misratah,LY,2022-01-03 04:52:57,32.3754,15.0925,59.41,78,27,9.62
180,Half Moon Bay,US,2022-01-03 04:50:15,37.4636,-122.4286,52.3,85,90,3.44
181,Tuatapere,NZ,2022-01-03 04:50:09,-46.1333,167.6833,68.83,75,100,1.77
182,Lamu,KE,2022-01-03 04:52:58,-2.2717,40.902,79.02,73,99,8.19
183,Bethel,US,2022-01-03 04:52:59,41.3712,-73.414,36.55,80,20,6.91
184,Nelson Bay,AU,2022-01-03 04:52:59,-32.7167,152.15,82.76,68,5,1.99
185,Rafai,CF,2022-01-03 04:53:59,4.95,23.9167,68.7,72,44,2.77
186,Namatanai,PG,2022-01-03 04:54:00,-3.6667,152.4333,83.59,73,98,11.43
187,Marica,BR,2022-01-03 04:54:00,-22.9194,-42.8186,77.86,87,97,3.91
188,Sorong,ID,2022-01-03 04:54:01,-0.8833,131.25,83.8,74,88,7.76
189,Verkhnyaya Inta,RU,2022-01-03 04:54:01,65.9811,60.3094,3.43,91,100,11.39
190,Coronado,US,2022-01-03 04:49:38,32.6859,-117.1831,54.7,73,1,0.0
191,Dongsheng,CN,2022-01-03 04:54:02,39.8161,109.9776,23.4,33,0,5.75
192,Narsaq,GL,2022-01-03 04:54:02,60.9167,-46.05,24.57,73,100,12.5
193,Rio Bananal,BR,2022-01-03 04:53:13,-19.265,-40.3333,71.31,94,100,2.51
194,Gambo,CF,2022-01-03 04:54:03,4.6482,22.2633,71.17,77,80,1.99
195,Kalevala,RU,2022-01-03 04:54:04,65.2,31.1667,-12.98,100,100,2.39
196,Fortuna,US,2022-01-03 04:51:13,40.5982,-124.1573,50.67,71,90,14.0
197,Faanui,PF,2022-01-03 04:54:04,-16.4833,-151.75,77.85,82,100,13.71
198,Sao Filipe,CV,2022-01-03 04:54:05,14.8961,-24.4956,75.67,60,64,10.22
199,Ukiah,US,2022-01-03 04:52:11,39.1502,-123.2078,47.82,79,20,3.44
200,Segezha,RU,2022-01-03 04:54:06,63.7415,34.3222,-13.79,100,100,2.95
201,Arraial Do Cabo,BR,2022-01-03 04:54:06,-22.9661,-42.0278,75.0,91,95,14.56
202,Colmenar Viejo,ES,2022-01-03 04:54:06,40.6591,-3.7676,47.71,78,94,1.01
203,Irece,BR,2022-01-03 04:54:07,-11.3042,-41.8558,67.1,91,98,6.98
204,Kariba,ZW,2022-01-03 04:54:07,-16.5167,28.8,71.71,80,82,4.18
205,Kruisfontein,ZA,2022-01-03 04:54:08,-34.0033,24.7314,59.88,67,100,1.14
206,Nikolskiy,RU,2022-01-03 04:54:08,60.9151,34.0645,3.24,99,100,3.74
207,San Patricio,US,2022-01-03 04:54:08,28.017,-97.5169,48.06,39,0,7.96
208,Isangel,VU,2022-01-03 04:52:47,-19.55,169.2667,78.91,100,90,6.91
209,Roma,US,2022-01-03 04:54:09,43.2128,-75.4557,23.65,83,16,1.01
210,Kirgiz-Miyaki,RU,2022-01-03 04:54:10,53.6324,54.7979,8.24,95,99,8.19
211,Nishihara,JP,2022-01-03 04:54:10,26.1842,127.7558,69.46,60,20,12.66
212,Stephenville,US,2022-01-03 04:54:11,32.2207,-98.2023,30.54,62,1,0.0
213,Imeni Poliny Osipenko,RU,2022-01-03 04:54:11,52.4201,136.4853,-9.94,90,100,0.98
214,Zhoucheng,CN,2022-01-03 04:54:12,35.9122,116.3117,45.23,42,0,2.71
215,Sisimiut,GL,2022-01-03 04:54:12,66.9395,-53.6735,16.45,63,89,15.39
216,Hasaki,JP,2022-01-03 04:54:13,35.7333,140.8333,50.29,45,35,5.3
217,Romitan,UZ,2022-01-03 04:54:13,39.9343,64.3814,46.35,87,0,6.91
218,Balkanabat,TM,2022-01-03 04:54:13,39.5108,54.3671,45.73,80,83,10.13
219,Muros,ES,2022-01-03 04:54:14,42.7762,-9.0603,58.08,87,100,12.03
220,Indore,IN,2022-01-03 04:54:14,22.7179,75.8333,62.78,77,81,5.75
221,Ha Tinh,VN,2022-01-03 04:54:15,18.3333,105.9,67.73,81,97,7.47
222,Salinopolis,BR,2022-01-03 04:54:15,-0.6136,-47.3561,78.96,86,100,10.16
223,Bonthe,SL,2022-01-03 04:54:16,7.5264,-12.505,80.35,79,91,4.12
224,Lucapa,AO,2022-01-03 04:54:16,-8.4192,20.7447,64.83,99,100,1.83
225,Odienne,CI,2022-01-03 04:54:17,9.51,-7.5692,66.78,22,84,2.06
226,Sangmelima,CM,2022-01-03 04:54:17,2.9333,11.9833,65.14,98,100,1.43
227,Talaya,RU,2022-01-03 04:55:18,61.3833,152.75,-18.06,99,100,0.85
228,San Quintin,MX,2022-01-03 04:55:18,30.4833,-115.95,51.44,52,57,6.11
229,Coihaique,CL,2022-01-03 04:53:49,-45.5752,-72.0662,47.01,96,89,7.47
230,Cidreira,BR,2022-01-03 04:55:19,-30.1811,-50.2056,72.41,94,91,10.2
231,Port-Cartier,CA,2022-01-03 04:55:19,50.0334,-66.8654,-0.26,85,79,9.24
232,Deputatskiy,RU,2022-01-03 04:55:20,69.3,139.9,-25.49,100,100,1.23
233,Znamenka,RU,2022-01-03 04:55:20,52.4167,41.4311,-2.13,99,76,5.79
234,Porto De Moz,BR,2022-01-03 04:55:21,-1.7483,-52.2383,72.73,99,100,3.6
235,Santa Fe,AR,2022-01-03 04:55:21,-31.6333,-60.7,79.75,84,98,1.99
236,Aguimes,ES,2022-01-03 04:55:21,27.9054,-15.4461,68.67,34,0,5.75
237,Cooma,AU,2022-01-03 04:55:22,-36.2333,149.1333,73.17,60,40,10.36
238,Luan,CH,2022-01-03 04:55:22,46.3592,6.9759,43.68,82,100,3.74
239,Chumikan,RU,2022-01-03 04:55:23,54.7183,135.315,-10.1,83,13,14.63
240,Russell,US,2022-01-03 04:55:23,32.3502,-85.1999,53.31,92,90,21.85
241,Kandi,BJ,2022-01-03 04:55:24,11.1342,2.9386,68.4,24,100,6.6
242,Dalbandin,PK,2022-01-03 04:55:21,28.8947,64.4101,62.24,38,95,23.17
243,Khani,GE,2022-01-03 04:55:24,41.9563,42.9566,29.77,97,87,2.44
244,Luderitz,NA,2022-01-03 04:55:25,-26.6481,15.1594,61.27,81,0,13.42
245,Khash,IR,2022-01-03 04:55:26,28.2211,61.2158,54.34,77,94,21.85
246,Lander,US,2022-01-03 04:50:42,42.833,-108.7307,25.2,67,1,0.0
247,Iowa City,US,2022-01-03 04:53:14,41.6611,-91.5302,-0.85,96,5,4.23
248,Amahai,ID,2022-01-03 04:55:26,-3.3333,128.9167,85.98,67,78,2.26
249,Chimbote,PE,2022-01-03 04:55:27,-9.0853,-78.5783,67.39,88,63,4.68
250,Kieta,PG,2022-01-03 04:55:27,-6.2167,155.6333,83.44,76,74,1.74
251,Te Anau,NZ,2022-01-03 04:55:28,-45.4167,167.7167,69.35,58,100,2.75
252,Port Blair,IN,2022-01-03 04:55:28,11.6667,92.75,82.89,65,80,13.29
253,Greytown,ZA,2022-01-03 04:55:28,-29.0642,30.5928,62.47,96,89,2.8
254,Namibe,AO,2022-01-03 04:55:29,-15.1961,12.1522,67.14,90,33,2.53
255,Lityn,UA,2022-01-03 04:55:29,49.3251,28.0809,35.92,86,100,17.9
256,San Carlos De Bariloche,AR,2022-01-03 04:53:40,-41.1456,-71.3082,51.55,43,40,27.63
257,Atasu,KZ,2022-01-03 04:55:30,48.6814,71.6433,19.71,94,99,5.75
258,Umrala,IN,2022-01-03 04:55:30,21.8333,71.8167,77.14,49,3,8.39
259,Inuvik,CA,2022-01-03 04:55:31,68.3499,-133.7218,-26.39,72,1,4.61
260,Shitanjing,CN,2022-01-03 04:55:31,39.2342,106.3439,28.09,29,4,3.65
261,Szedres,HU,2022-01-03 04:55:32,46.4755,18.6831,47.43,80,91,6.53
262,Cortez,US,2022-01-03 04:55:32,37.3489,-108.5859,18.7,86,9,5.28
263,Berdigestyakh,RU,2022-01-03 04:55:32,62.0989,126.6992,-26.82,97,71,5.26
264,Vila Velha,BR,2022-01-03 04:55:33,-20.3297,-40.2925,76.95,90,75,5.99
265,Pevek,RU,2022-01-03 04:55:33,69.7008,170.3133,29.66,76,100,19.77
266,Bonavista,CA,2022-01-03 04:55:34,48.6499,-53.1147,43.12,98,100,18.92
267,Puerto Ayacucho,VE,2022-01-03 04:55:34,5.6639,-67.6236,74.34,57,65,7.65
268,Basco,PH,2022-01-03 04:55:35,20.4487,121.9702,75.11,67,62,14.58
269,Pervomaysk,UA,2022-01-03 04:55:35,48.0443,30.8507,33.64,88,100,12.44
270,Longyearbyen,SJ,2022-01-03 04:55:35,78.2186,15.6401,8.44,66,20,33.38
271,Nuci,RO,2022-01-03 04:55:36,44.7167,26.3,41.16,91,100,10.8
272,Saldanha,ZA,2022-01-03 04:55:37,-33.0117,17.9442,59.05,84,100,15.28
273,Elmadag,TR,2022-01-03 04:56:37,39.9208,33.2308,29.34,81,22,2.98
274,Karratha,AU,2022-01-03 04:56:37,-20.7377,116.8463,94.5,37,0,16.78
275,Bongor,TD,2022-01-03 04:56:38,10.2806,15.3722,61.77,33,15,7.76
276,Tilichiki,RU,2022-01-03 04:56:38,60.4667,166.1,30.85,97,100,23.82
277,Gazanjyk,TM,2022-01-03 04:56:39,39.2446,55.5154,46.17,62,98,6.31
278,Hami,CN,2022-01-03 04:56:39,42.8,93.45,23.7,42,6,2.57
279,San Policarpo,PH,2022-01-03 04:56:40,12.1791,125.5072,79.54,76,100,19.15
280,Chardara,KZ,2022-01-03 04:56:40,41.2547,67.9692,49.98,49,100,12.01
281,Padang,ID,2022-01-03 04:56:41,-0.9492,100.3543,87.85,66,98,3.02
282,Champerico,GT,2022-01-03 04:56:41,14.3,-91.9167,79.03,76,9,8.34
283,Sept-Iles,CA,2022-01-03 04:56:42,50.2001,-66.3821,0.05,69,40,1.99
284,Yar-Sale,RU,2022-01-03 04:56:42,66.8333,70.8333,-11.76,100,100,13.35
285,Providencia,MX,2022-01-03 04:56:42,28.7167,-111.5833,53.85,73,5,9.48
286,Pacifica,US,2022-01-03 04:56:43,37.6138,-122.4869,52.11,86,90,1.01
287,Olafsvik,IS,2022-01-03 04:56:43,64.8945,-23.7142,27.79,62,78,6.2
288,Touros,BR,2022-01-03 04:56:44,-5.1989,-35.4608,81.5,78,45,11.21
289,Saint George,US,2022-01-03 04:56:44,37.1041,-113.5841,39.67,62,1,1.01
290,Torbay,CA,2022-01-03 04:56:45,47.6666,-52.7314,44.76,96,90,16.11
291,Vardo,NO,2022-01-03 04:56:45,70.3705,31.1107,3.4,69,100,14.09
292,Dingle,PH,2022-01-03 04:56:45,10.9995,122.6711,80.53,78,99,16.93
293,Juneau,US,2022-01-03 04:56:46,58.3019,-134.4197,-1.28,79,100,12.48
294,Houston,US,2022-01-03 04:51:55,29.7633,-95.3633,40.05,62,1,4.0
