City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Rio Grande,70.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
615,Turiacu,73.56,overcast clouds,-1.6633,-45.3717,Pousada Maranata
621,La Libertad,74.77,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
626,Mtwara,80.55,overcast clouds,-10.2667,40.1833,TIL Hotels Mtwara
627,Luis Correia,82.4,broken clouds,-2.8792,-41.6669,Hotel Amarração
629,Letlhakeng,71.42,overcast clouds,-24.0944,25.0298,fenugreek
632,Mayumba,76.73,overcast clouds,-3.432,10.6554,LIKWALE LODGE
634,Navrongo,70.11,clear sky,10.8956,-1.0921,Azakka Hotel
635,Sinnamary,75.56,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
640,Luganville,84.52,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
643,Mayor Pablo Lagerenza,81.5,few clouds,-19.9309,-60.7718,
645,Yenagoa,77.16,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
646,Manacapuru,75.78,overcast clouds,-3.2997,-60.6206,Novo Hotel
647,Tiarei,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
648,Banjar,85.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
652,Soyo,76.86,overcast clouds,-6.1349,12.3689,Hotel Mpampa
655,Manta,76.78,few clouds,-0.95,-80.7333,Balandra Hotel
656,Lekoni,75.18,scattered clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
658,Salaga,80.13,broken clouds,8.5508,-0.5188,Bore Nada Guest House
662,Belmonte,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
663,Alugan,80.74,broken clouds,12.2188,125.4808,JM Lodge
665,Acarau,79.11,overcast clouds,-2.8856,-40.12,castelo pizzaria
666,Namatanai,85.14,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
667,Necochea,79.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
668,Bocas Del Toro,78.33,few clouds,9.3333,-82.25,Hotel Bocas del Toro
669,Maridi,76.46,overcast clouds,4.9158,29.4742,
672,Santa Teresa,79.72,few clouds,10.2341,-66.6631,Funeraria Lira
673,Padang,80.65,moderate rain,-0.9492,100.3543,Mercure Padang
674,Boa Vista,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
675,Amapa,71.76,overcast clouds,1.0,-52.0,
