City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Lavrentiya,65.5833,-171.0,-10.91,82,2,10.92,clear sky
184,Faanui,-16.4833,-151.75,81.75,77,64,14.03,light rain
185,Kasongo-Lunda,-6.4667,16.8167,70.02,96,100,0.67,overcast clouds
186,Saint Anthony,45.0205,-93.218,6.26,60,100,1.99,overcast clouds
187,Itoman,26.1247,127.6694,70.18,68,40,6.91,scattered clouds
188,Pevek,69.7008,170.3133,-15.36,100,96,2.95,overcast clouds
189,Tasiilaq,65.6145,-37.6368,32.16,67,100,48.79,overcast clouds
190,Marawi,7.9986,124.2928,71.65,67,77,1.16,broken clouds
191,Najran,17.4924,44.1277,54.59,35,2,1.9,clear sky
192,Arraial Do Cabo,-22.9661,-42.0278,68.95,93,100,5.06,light rain
193,Minab,27.1467,57.0801,59.49,34,0,4.9,clear sky
194,Banes,20.9625,-75.7186,74.01,83,89,10.96,overcast clouds
195,Karratha,-20.7377,116.8463,90.7,44,0,13.38,clear sky
196,Methven,-43.6333,171.65,74.91,47,55,8.08,broken clouds
197,Ballina,-28.8667,153.5667,84.38,69,75,9.22,broken clouds
198,Ron,15.6667,75.7333,65.89,78,100,5.68,overcast clouds
199,Omboue,-1.5746,9.2618,76.73,92,100,5.57,overcast clouds
200,Hasaki,35.7333,140.8333,48.29,65,100,18.1,overcast clouds
201,Bethanien,-26.502,17.1583,68.58,80,6,1.43,clear sky
202,Vila Velha,-20.3297,-40.2925,73.94,97,100,2.3,overcast clouds
203,Rawson,-43.3002,-65.1023,66.38,59,6,5.57,clear sky
204,Lufilufi,-13.8745,-171.5986,91.18,72,100,8.19,overcast clouds
205,Mareeba,-17.0,145.4333,79.52,96,100,5.5,moderate rain
206,Pampa,35.5362,-100.9599,36.55,34,0,0.0,clear sky
207,Dasoguz,41.8363,59.9666,28.51,82,11,9.55,few clouds
208,Lamar,33.6668,-95.5836,49.66,49,40,12.66,scattered clouds
209,Davila,18.4726,120.5763,78.46,70,29,12.84,scattered clouds
210,Altamont,42.2068,-121.7372,35.44,64,0,6.91,clear sky
211,Merauke,-8.4667,140.3333,85.19,68,63,12.08,broken clouds
212,Mackenzie,55.2999,-123.1698,25.3,95,100,3.4,overcast clouds
213,Jiblah,13.9216,44.1467,56.75,71,0,2.73,clear sky
214,Honavar,14.2833,74.45,71.53,89,100,4.56,overcast clouds
215,Kaili,-3.4626,120.2147,78.26,70,54,3.49,broken clouds
216,Sidi Ali,36.0998,0.4206,49.51,81,0,8.59,clear sky
217,Cherskiy,68.75,161.3,-13.72,98,100,2.53,overcast clouds
218,Gasa,31.5,34.4667,53.58,51,0,12.95,clear sky
219,Mahroni,24.5862,78.7288,54.03,94,0,5.86,clear sky
220,Jinchang,38.4953,102.1739,23.36,59,0,2.08,clear sky
221,Acapulco,16.8634,-99.8901,78.62,78,20,4.61,few clouds
222,Mehamn,71.0357,27.8492,31.77,68,100,23.42,overcast clouds
223,Comodoro Rivadavia,-45.8667,-67.5,75.06,29,0,21.85,clear sky
224,Port Moresby,-9.4431,147.1797,84.9,66,82,9.53,broken clouds
225,Gorontalo,0.5412,123.0595,88.93,56,90,0.69,overcast clouds
226,Vangaindrano,-23.35,47.6,72.57,91,81,4.05,light rain
227,Manjacaze,-24.7117,33.8828,69.71,97,2,4.16,clear sky
228,College,64.8569,-147.8028,-6.14,67,75,10.36,broken clouds
229,Sechura,-5.5569,-80.8222,72.73,74,58,14.14,broken clouds
230,Bathsheba,13.2167,-59.5167,77.61,61,20,18.41,few clouds
231,Kirovskiy,45.0917,133.5136,2.73,82,17,1.66,few clouds
232,Northam,51.0333,-4.2167,46.56,96,100,5.3,overcast clouds
233,Beckley,37.7782,-81.1882,37.71,69,75,4.0,broken clouds
234,Plettenberg Bay,-34.0527,23.3716,71.11,72,100,3.44,overcast clouds
235,Hithadhoo,-0.6,73.0833,81.64,71,3,5.64,clear sky
236,Ratnagiri,16.9833,73.3,68.27,74,3,7.92,clear sky
237,Tanda,26.55,82.65,57.56,83,0,4.83,clear sky
238,Inongo,-1.95,18.2667,73.74,88,81,3.76,broken clouds
239,Black River,18.0264,-77.8487,73.98,85,100,4.38,overcast clouds
240,San Cristobal,7.7669,-72.225,66.38,94,17,2.37,few clouds
241,Yerbogachen,61.2767,108.0108,-7.76,79,99,9.53,overcast clouds
